title,price,link
MICROSOFT Laptop Go 3 Intel Core i5 12th Gen 1235U - (8 GB/256 GB SSD/Windows 11 Home) XK1-00045 Thin ...,"69,990",https://www.flipkart.com/microsoft-laptop-go-3-intel-core-i5-12th-gen-1235u-8-gb-256-gb-ssd-windows-11-home-xk1-00045-thin-light/p/itm8a768fa3e5823?pid=COMGUSPBNYYPCQKX&lid=LSTCOMGUSPBNYYPCQKXGAWJ22&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_108&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGUSPBNYYPCQKX.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
DELL Vostro Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3520 Thin and Ligh...,"31,990",https://www.flipkart.com/dell-vostro-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-3520-thin-light-laptop/p/itm5d692e615c97e?pid=COMH2F22XWP7DQFM&lid=LSTCOMH2F22XWP7DQFMZIEMAE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_109&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMH2F22XWP7DQFM.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41-R6G9 Thin a...,"37,990",https://www.flipkart.com/acer-swift-go-14-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-sfg14-41-r6g9-thin-light-laptop/p/itm52551833a1d42?pid=COMH3GFNKMHJEBYF&lid=LSTCOMH3GFNKMHJEBYFYBAVSV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&iid=en_3-xNj6Klu_n43_M1NIslS3WpHNzrnA9pLLAGVmLOgnnPqwP_hjq_ZvMKUi9Amv-F1yCa4TYqRYmMoWfi6BO_D2aRs4JL222ZRV-dN99QnxU%3D&ssid=46p4cmk0340000001736938652819&qH=312f91285e048e09
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"31,790",https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5300u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH2TPSHCGSZY44&lid=LSTCOMH2TPSHCGSZY44YKMZCU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_110&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMH2TPSHCGSZY44.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"48,990",https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-1696in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGZW35SQXHBAUH&lid=LSTCOMGZW35SQXHBAUHXQTHLX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_111&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGZW35SQXHBAUH.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-613IN T...,"31,499",https://www.flipkart.com/msi-modern-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-b12mo-613in-thin-light-laptop/p/itm60c14709fdf3b?pid=COMGYSFGG56EDB6H&lid=LSTCOMGYSFGG56EDB6HGPMU7V&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_112&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGYSFGG56EDB6H.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
MSI Modern 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-612IN ...,"34,499",https://www.flipkart.com/msi-modern-15-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-b12mo-612in-thin-light-laptop/p/itm60c14709fdf3b?pid=COMGYSFGT7MCYFJX&lid=LSTCOMGYSFGT7MCYFJXIDLSMH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_113&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGYSFGT7MCYFJX.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | 15ALC7 ...,"33,990",https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15acl6-15alc7-2-thin-light-laptop/p/itm7ecd736658657?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_114&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMG9VHHF6HVJPP9.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,"36,990",https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5625u-16-gb-1-tb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGU2D9ZAXCAHBU&lid=LSTCOMGU2D9ZAXCAHBU9NMK1M&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_115&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGU2D9ZAXCAHBU.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ322WS Th...,"29,990",https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj322ws-thin-light-laptop/p/itm968db504ada5b?pid=COMGMGXFQZGYKEZG&lid=LSTCOMGMGXFQZGYKEZGUU1BUT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_116&otracker=search&otracker1=search&fm=Search&iid=47e936be-1540-47c1-a5e7-e15f9c09190f.COMGMGXFQZGYKEZG.SEARCH&ppt=sp&ppn=sp&ssid=gxe57bke680000001736938658294&qH=312f91285e048e09
